Date,Sales
2019-10-31,668.3529515098015
2019-11-30,883.1314563814678
2019-12-31,1066.089625935279
2020-01-31,901.4006428268608
2020-02-29,892.3467138003944
2020-03-31,812.5652478583282
2020-04-30,829.427442089673
2020-05-31,803.4552655177537
2020-06-30,814.8295136915452
2020-07-31,777.751947447251
2020-08-31,909.273999919885
2020-09-30,714.9177354472748
2020-10-31,820.1493158501723
2020-11-30,880.709553827675
2020-12-31,932.2970158727344
2021-01-31,885.8613082617596
2021-02-28,883.3085103694566
2021-03-31,860.8132749797392
2021-04-30,865.5677627756679
2021-05-31,858.2446266117438
2021-06-30,861.4517212962893
2021-07-31,850.997296617606
2021-08-31,888.0813770777147
2021-09-30,833.2805039350422
2021-10-31,862.9516982948621
